path_id,point_id,base_date_time_gt,longitude_gt,latitude_gt,longitude_pred,latitude_pred,sog_gt,sog_pred,heading_gt,heading_pred,haversine_dist_km,consolidated_rmse
100000001,90,05-01-25 01:52,-79.75306,26.49943,,,12.7,,15,,1000.0,
100000001,91,05-01-25 01:53,-79.7524,26.50343,,,12.7,,15,,1000.0,
100000001,92,05-01-25 01:54,-79.7517,26.50749,,,12.7,,15,,1000.0,
100000001,93,05-01-25 01:56,-79.75059,26.51447,,,12.7,,15,,1000.0,
100000001,94,05-01-25 01:57,-79.75003,26.51803,,,12.7,,15,,1000.0,
100000001,95,05-01-25 01:58,-79.74934,26.5221,,,12.7,,15,,1000.0,
100000001,96,05-01-25 01:59,-79.7487,26.52615,,,12.6,,15,,1000.0,
100000001,97,05-01-25 02:00,-79.74851,26.52734,,,12.7,,15,,1000.0,
100000001,98,05-01-25 02:01,-79.74786,26.53149,,,12.7,,15,,1000.0,
100000001,99,05-01-25 02:02,-79.7472,26.53553,,,12.7,,15,,1000.0,
100000001,100,05-01-25 02:03,-79.74656,26.53964,,,12.7,,15,,1000.0,
100000001,101,05-01-25 02:04,-79.74592,26.54367,,,12.7,,15,,1000.0,
100000001,102,05-01-25 02:05,-79.74525,26.54773,,,12.6,,15,,1000.0,
100000001,103,05-01-25 02:07,-79.7445,26.55239,,,12.6,,15,,1000.0,
100000001,104,05-01-25 02:08,-79.74387,26.55643,,,12.6,,15,,1000.0,
100000001,105,05-01-25 02:09,-79.74323,26.5605,,,12.8,,15,,1000.0,
100000001,106,05-01-25 02:10,-79.74264,26.56458,,,12.6,,14,,1000.0,
100000001,107,05-01-25 02:11,-79.74211,26.56871,,,12.8,,14,,1000.0,
100000001,108,05-01-25 02:13,-79.7414,26.57334,,,12.8,,14,,1000.0,
100000001,109,05-01-25 02:14,-79.74076,26.57802,,,12.7,,14,,1000.0,
100000001,110,05-01-25 02:15,-79.74024,26.58208,,,12.7,,14,,1000.0,
100000001,111,05-01-25 02:17,-79.73965,26.58679,,,12.8,,14,,1000.0,
100000001,112,05-01-25 02:18,-79.73906,26.59086,,,12.6,,14,,1000.0,
100000001,113,05-01-25 02:19,-79.73852,26.59496,,,12.7,,14,,1000.0,
100000001,114,05-01-25 02:20,-79.73804,26.59847,,,12.6,,14,,1000.0,
100000001,115,05-01-25 02:21,-79.73747,26.60247,,,12.6,,14,,1000.0,
100000001,116,05-01-25 02:22,-79.73697,26.60661,,,12.8,,14,,1000.0,
100000001,117,05-01-25 02:24,-79.73639,26.6113,,,12.8,,14,,1000.0,
100000001,118,05-01-25 02:25,-79.73591,26.61538,,,12.7,,14,,1000.0,
100000001,119,05-01-25 02:27,-79.73497,26.62246,,,12.7,,14,,1000.0,
100000001,120,05-01-25 02:28,-79.73439,26.62646,,,12.7,,14,,1000.0,
100000001,121,05-01-25 02:29,-79.73378,26.63058,,,12.7,,14,,1000.0,
100000001,122,05-01-25 02:31,-79.73299,26.63649,,,12.8,,14,,1000.0,
100000001,123,05-01-25 02:32,-79.73242,26.64057,,,12.8,,14,,1000.0,
100000001,124,05-01-25 02:33,-79.73177,26.64527,,,12.8,,14,,1000.0,
100000001,125,05-01-25 02:35,-79.7308,26.65234,,,12.7,,14,,1000.0,
100000001,126,05-01-25 02:37,-79.73011,26.65754,,,12.7,,14,,1000.0,
100000001,127,05-01-25 02:38,-79.72959,26.66172,,,12.6,,14,,1000.0,
100000001,128,05-01-25 02:39,-79.72902,26.66574,,,12.6,,14,,1000.0,
100000001,129,05-01-25 02:40,-79.72853,26.66979,,,12.5,,16,,1000.0,
100000001,130,05-01-25 02:42,-79.72781,26.67447,,,12.4,,18,,1000.0,
100000001,131,05-01-25 02:43,-79.7271,26.67841,,,12.4,,18,,1000.0,
100000001,132,05-01-25 02:44,-79.72646,26.68183,,,12.4,,18,,1000.0,
100000001,133,05-01-25 02:45,-79.72536,26.68758,,,12.4,,18,,1000.0,
100000001,134,05-01-25 02:47,-79.72415,26.6938,,,12.5,,18,,1000.0,
100000001,135,05-01-25 02:48,-79.72338,26.69782,,,12.4,,18,,1000.0,
100000001,136,05-01-25 02:50,-79.72263,26.70165,,,12.3,,18,,1000.0,
100000001,137,05-01-25 02:51,-79.72159,26.70736,,,12.3,,18,,1000.0,
100000001,138,05-01-25 02:54,-79.72015,26.7152,,,12.3,,17,,1000.0,
100000001,139,05-01-25 02:55,-79.71918,26.72088,,,12.3,,17,,1000.0,
100000001,140,05-01-25 02:57,-79.71845,26.72533,,,12.2,,17,,1000.0,
100000001,141,05-01-25 02:58,-79.71782,26.72932,,,12.2,,17,,1000.0,
100000001,142,05-01-25 02:59,-79.71717,26.73324,,,12.2,,17,,1000.0,
100000001,143,05-01-25 03:00,-79.7168,26.73552,,,12.2,,17,,1000.0,
100000001,144,05-01-25 03:01,-79.71616,26.73942,,,12.2,,17,,1000.0,
100000001,145,05-01-25 03:02,-79.71553,26.74328,,,12.2,,17,,1000.0,
100000001,146,05-01-25 03:03,-79.71499,26.7467,,,12.3,,17,,1000.0,
