ID,X,Y,WKT,Name,Description,Date Created,Date Updated
66,-79.7156209,26.6079996828921,"POLYGON((-79.7158010769635 26.6079109860584, -79.7154407156631 26.6079109860584, -79.7154407156631 26.6080883797258, -79.7158010769635 26.6080883797258, -79.7158010769635 26.6079109860584))",vessel_23,ship_unverified_________visual,01/21/2026 14:45:35,01/21/2026 17:02:18
67,-79.71562501,26.6079964535311,"POLYGON((-79.7157928487286 26.6080459114164, -79.715457172133 26.6079469956458, -79.7157928487286 26.6080459114164))",vessel_23_length,,01/21/2026 14:46:01,01/21/2026 16:58:56
68,-79.71559572,26.6079874290153,"LINESTRING(-79.7155568841845 26.6080540511757, -79.7156345658004 26.607920806855)",vessel_23_width,,01/21/2026 14:46:07,01/21/2026 16:59:08
69,-79.01989837,26.7060345457867,"POLYGON((-79.020114694722 26.705872900784, -79.01968204882 26.705872900784, -79.01968204882 26.7061961907893, -79.020114694722 26.7061961907893, -79.020114694722 26.705872900784))",vessel_24,ship_unverified_________visual,01/21/2026 14:49:45,01/21/2026 17:03:34
70,-79.01991209,26.7060275562108,"POLYGON((-79.0198845695704 26.7061241716146, -79.0199396014214 26.7059309408069, -79.0198845695704 26.7061241716146))",vessel_24_width,,01/21/2026 09:19:08,01/21/2026 17:03:17
71,-79.01992483,26.7060507368296,"LINESTRING(-79.0197507059202 26.7060177354142, -79.0200989460573 26.7060837382451)",vessel_24_length,,01/21/2026 09:18:59,01/21/2026 17:03:04
72,-79.22680835,26.740984946955,"POLYGON((-79.2271868977696 26.740823877044, -79.2264298116788 26.740823877044, -79.2264298116788 26.741146016866, -79.2271868977696 26.741146016866, -79.2271868977696 26.740823877044))",vessel_25,ship_unverified_________visual,01/21/2026 14:52:09,01/21/2026 17:05:30
73,-79.22682118,26.7409528745338,"LINESTRING(-79.2271476145834 26.7410180810839, -79.226494752802 26.7408876679838)",vessel_25_length,,01/21/2026 14:52:38,01/21/2026 17:04:18
74,-79.22685383,26.7409616778605,"LINESTRING(-79.2268879385665 26.7408586479723, -79.2268197238445 26.7410647077486)",vessel_25_width,,01/21/2026 14:52:56,01/21/2026 17:04:31
75,-79.28241242,26.7299225716852,"POLYGON((-79.2826420161873 26.729794414714, -79.2821828275919 26.729794414714, -79.2821828275919 26.7300507286564, -79.2826420161873 26.7300507286564, -79.2826420161873 26.729794414714))",vessel_26,ship_unverified_________visual,01/21/2026 14:57:16,01/21/2026 17:06:12
76,-79.28239902,26.7299388512038,"POLYGON((-79.2825827375054 26.729922615923, -79.2822152981535 26.7299550864846, -79.2825827375054 26.729922615923))",vessel_26_length,,01/21/2026 14:58:24,01/21/2026 17:06:03
77,-79.28234452,26.7299414169975,"POLYGON((-79.2823378369212 26.7298679379746, -79.2823511967435 26.7300148960203, -79.2823378369212 26.7298679379746))",vessel_26_width,,01/21/2026 14:59:30,01/21/2026 17:05:58
78,-79.07880678,26.8230796395801,"POLYGON((-79.0790667245165 26.8227496696636, -79.0785468416288 26.8227496696636, -79.0785468416288 26.8234096094966, -79.0790667245165 26.8234096094966, -79.0790667245165 26.8227496696636))",vessel_27,ship_unverified_________visual,01/21/2026 15:06:15,01/21/2026 15:15:28
79,-79.07884138,26.823134184815,"LINESTRING(-79.0789853269234 26.8233804125339, -79.0786974271759 26.8228879570961)",vessel_27_length,,01/21/2026 15:06:40,01/21/2026 15:15:31
80,-79.07881081,26.8230446474627,"LINESTRING(-79.0789351612329 26.8229794409126, -79.078686456196 26.8231098540127)",vessel_27_width,,01/21/2026 15:06:46,01/21/2026 15:15:35
